SN,TEST_NAME,sub_test_name,test_result,lower_limit,upper_limit,test_value,process,mapping_process,endtime,[station_id],[fixture_id]
FM7921300K4L82LCV22,234.N,234.N,pass,0.175,0.255,0.234,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792110052L82JAF22,124.N,124.N,pass,0.115,0.325,0.23,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212004SL82LCK22,484.L,484.L,pass,1.365,1.485,1.408,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79136001RM0XDE713,A144.N,A144-LA08.N,pass,3.335,3.625,3.423,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79141013DM0XDEE13,A035.N,A035-UL.N,pass,-0.025,0.025,0.003,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79141013DM0XDEE13,A035.N,A035-UL.N,pass,-0.025,0.025,0.003,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79213006QL82LCE22,483.L,483-S.L,pass,0.825,0.945,0.908,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137005HM0XDE213,A001.N,A001.N,pass,4.615,4.855,4.768,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79137005HM0XDE213,A001.N,A001.N,pass,4.615,4.855,4.768,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79137005HM0XDE213,A022.N,A022-24.N,pass,-0.005,0.155,0.317,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920300CEM0XDC219,453.L,453-04.L,pass,0.01,0.22,0.124,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921200BLL82JAC22,123.L,123.L,pass,0.01,0.22,0.086,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700DQM0XDE513,A331.N,A331.N,pass,4.915,5.225,5.075,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79196007PL82JCN19,274.S,274.S,pass,0.205,0.515,0.328,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921200SGL82LCX22,483.L,483-N.L,pass,0.825,0.945,0.876,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79136001RM0XDE713,711.Z,711-03.Z,pass,-0.085,0.085,-0.001,ump-t3,polish1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A118.N,A118-B2.N,pass,19.365,19.715,19.604,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,711.Z,711-10.Z,pass,-0.085,0.085,-0.013,ump-t3,polish1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700XDM0XDEW13,A022.N,A022-05.N,pass,-0.005,0.155,0.126,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7917201EUL82JEZ16,487.L,487-B01.L,pass,1.365,1.485,1.479,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100RKL82LCY22,469.L,469.L,pass,0.145,0.265,0.2,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100RKL82LCY22,469.L,469.L,pass,0.145,0.265,0.2,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79141013DM0XDEE13,531.Z,531-05.Z,pass,-0.005,0.305,0.133,ump-t3,CNC5-1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A126.N,A126.N,pass,24.325,24.735,24.472,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79137016LM0XDEV13,A115.N,A115.N,pass,12.055,12.465,12.32,ump-t3,ua-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921201HRL82LCE22,158.L,158.L,pass,3.655,3.865,3.821,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921201HRL82LCE22,158.L,158.L,pass,3.655,3.865,3.821,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914101G6M0XDEG13,A273.N,A273.N,pass,4.055,4.465,4.283,ump-t3,bd-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700DQM0XDE513,A014.N,A014-Offset.N,pass,0.037,0.292,0.187,ump-t3,BGASSY,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700DQM0XDE513,A224.Y,A224-A02.Y,pass,0.455,0.615,0.498,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A022.N,A022-25.N,pass,-0.005,0.155,0.351,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100BGL82JAH22,123.L,123-09.L,pass,0.01,0.22,0.095,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A326.Y,A326-M.Y,pass,0,0.065,0.011,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300XML82LCA22,328.N,328.N,pass,1.265,1.335,1.312,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914400Q5M0XCES13,A138.N,A138.N,pass,25.855,26.165,26.108,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300K4L82LCV22,336.L,336.L,pass,13.095,13.205,13.145,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700CQM0XDE813,A126.N,A126-B3.N,pass,24.325,24.735,18.889,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100RKL82LCY22,148.L,148.L,pass,1.805,1.855,1.831,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921201C3L82LCH22,234.N,234.N,pass,0.175,0.255,0.221,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921201C3L82LCH22,234.N,234.N,pass,0.175,0.255,0.221,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792060108M0XDC619,469.L,469.L,pass,0.145,0.265,0.204,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100M6L82LCP22,590.L,590.L,pass,0.815,0.975,0.893,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100BGL82JAH22,453.L,453-14.L,pass,0.01,0.22,0.102,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100RKL82LCY22,009.N,009-01.N,pass,0.895,1.105,1.021,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920300A9M0XDCD19,470.L,470-TU.L,pass,0.145,0.265,0.217,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200U3L82LC422,126.N,126.N,pass,0.145,0.355,0.259,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100BGL82JAH22,234.N,234-10.N,pass,0.175,0.255,0.229,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79136001RM0XDE713,A109.N,A109.N,pass,13.435,13.745,13.544,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A144.N,A144-UA09.N,pass,3.735,3.995,3.865,ump-t3,ua-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300K4L82LCV22,580.N,580-07.N,pass,1.315,1.385,1.348,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921300MDL82LCE22,123.L,123-09.L,pass,0.01,0.22,0.12,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300K4L82LCV22,450.L,450-13.L,pass,0.01,0.22,0.115,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700CQM0XDE813,A224.Y,A224-A01.Y,pass,0.455,0.615,0.485,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202B4L82LCJ22,469.L,469-TD.L,pass,0.145,0.265,0.183,ump-t1,CNC5-2,2019.05.26,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300K4L82LCV22,470.L,470.L,pass,0.145,0.265,0.213,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79213007RL82LCA22,488.L,488.L,pass,1.365,1.485,1.433,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79197005NL82JCU19,473.L,473.L,pass,0.145,0.265,0.243,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202DNL82LCU22,471.L,471.L,pass,0.145,0.265,0.234,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A022.N,A022-25.N,pass,-0.005,0.155,0.359,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914100KLM0XDEU13,A022.N,A022-25.N,pass,-0.005,0.155,0.359,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79204009KM0XDC519,092.L,092.L,pass,1.395,1.555,1.465,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920701C2L82KCH19,488.L,488.L,pass,1.365,1.485,1.423,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79144018MM0XCEP13,A001.N,A001-10.N,pass,4.615,4.855,4.758,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202DNL82LCU22,638.S,638-08.S,pass,0.235,0.545,0.456,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200DDL82JAD22,485.L,485.L,pass,1.365,1.485,1.425,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79144018MM0XCEP13,A118.N,A118.N,pass,19.365,19.715,19.538,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79141013DM0XDEE13,A110.N,A110.N,pass,9.195,9.605,9.348,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A041.Z,A041.Z,pass,-0.025,0.025,-0.001,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79212004SL82LCK22,327.L,327.L,pass,2.095,2.205,2.18,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914400Q5M0XCES13,A224.Y,A224-O01.Y,pass,0.455,0.615,0.517,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79136001RM0XDE713,A037.N,A037-LR.N,pass,-0.025,0.025,0.005,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79136001RM0XDE713,A037.N,A037-LR.N,pass,-0.025,0.025,0.005,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79141013DM0XDEE13,A001.N,A001-25.N,pass,4.615,4.855,4.731,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100H7L82LC022,259.S,259-P234.S,pass,0.205,0.515,0.36,ump-t1,CNC7,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921200C8L82LCD22,244.S,244-P1.S,pass,0.575,0.815,0.657,ump-t1,CNC7,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920700U7L82KCZ19,009.N,009-01.N,pass,0.895,1.105,1.032,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137016LM0XDEV13,A002.N,A002.N,pass,155.175,155.385,155.198,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920700WYL82KC219,453.L,453.L,pass,0.01,0.22,0.069,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921200SGL82LCX22,234.N,234.N,pass,0.175,0.255,0.214,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100H7L82LC022,472.L,472.L,pass,0.145,0.265,0.234,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79137016LM0XDEV13,A129.N,A129-B3.N,pass,5.555,5.905,11.446,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79144000VM0XCE613,A144.N,A144-LA06.N,pass,3.025,3.285,3.154,ump-t3,bd-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202DNL82LCU22,638.S,638-07.S,pass,0.235,0.545,0.475,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202DNL82LCU22,638.S,638-07.S,pass,0.235,0.545,0.475,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914400CLM0XCED13,A022.N,A022.N,pass,-0.005,0.155,0.105,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914100KLM0XDEU13,A110.N,A110.N,pass,9.195,9.605,9.376,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914100KLM0XDEU13,A126.N,A126.N,pass,24.325,24.735,24.521,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212012WL82LCL22,470.L,470.L,pass,0.145,0.265,0.2,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921200DDL82JAD22,130.N,130.N,fail,1.805,1.855,1.946,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202DNL82LCU22,580.N,580.N,pass,1.315,1.385,1.353,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300K4L82LCV22,580.N,580-10.N,pass,1.315,1.385,1.346,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700XDM0XDEW13,A144.N,A144-LA11.N,pass,3.455,3.715,3.653,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100LGL82LCG22,010.L,010-01.L,pass,0.895,1.105,1.036,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79141013DM0XDEE13,A126.N,A126.N,pass,24.325,24.735,24.514,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792110052L82JAF22,126.N,126-05.N,pass,0.145,0.355,0.239,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700F6M0XDEH13,A131.N,A131-B2.N,pass,7.145,7.455,12.906,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792120020L82JAR22,147.L,147.L,pass,1.805,1.855,1.836,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A004.Y,A004.Y,pass,75.065,75.295,75.099,ump-t3,sp-wld1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79141013DM0XDEE13,A038.N,A038-LR.N,pass,-0.025,0.025,0.001,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792070077L82JCV19,011.L,011-01.L,pass,0.895,1.105,1.001,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212003NL82JA022,470.L,470.L,pass,0.145,0.265,0.224,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM791960046L82JCE19,560.N,560-01.N,pass,1.315,1.385,1.35,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202DNL82LCU22,639.S,639-01.S,pass,0.185,0.495,0.325,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79213007RL82LCA22,453.L,453.L,pass,0.01,0.22,0.02,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79213007RL82LCA22,453.L,453.L,pass,0.01,0.22,0.02,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100M6L82LCP22,092.L,092.L,pass,1.395,1.555,1.549,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79144012LM0XCE813,A035.N,A035-UR.N,pass,-0.025,0.025,0.008,ump-t3,Grinding,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7919600B6L82JCT19,039.L,039-TS.L,pass,0.145,0.265,0.233,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921201M9L82LCJ22,011.L,011-01.L,pass,0.895,1.105,1.02,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202C1L82LCJ22,124.N,124-11.N,pass,0.115,0.325,0.248,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921201JLL82LCG22,589.L,589-01.L,pass,-0.055,0.055,0.018,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914100KLM0XDEU13,A035.N,A035-UR.N,pass,-0.025,0.025,0.006,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79136001RM0XDE713,A036.N,A036-UR.N,pass,-0.025,0.025,-0.001,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79207011ML82KCX19,482.L,482-N.L,pass,0.825,0.945,0.889,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A124.N,A124.N,pass,32.235,32.645,32.48,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79136001RM0XDE713,A023.N,A023.N,pass,-0.005,0.205,0.108,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300K4L82LCV22,486.L,486-B01.L,pass,1.365,1.485,1.46,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79136001RM0XDE713,531.Z,531-23.Z,pass,-0.005,0.305,0.209,ump-t3,CNC5-1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300K4L82LCV22,580.N,580-07.N,pass,1.315,1.385,1.348,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212004SL82LCK22,560.N,560.N,pass,1.315,1.385,1.342,ump-t1,CNC6,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920400VQM0XDC819,108.L,108.L,pass,1.805,1.855,1.829,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212004SL82LCK22,701.S,701-P15.S,pass,0.19,0.49,0.348,ump-t1,CNC7,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700CQM0XDE813,A022.N,A022-09.N,pass,-0.005,0.155,0.255,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100RKL82LCY22,004.L,004-01.L,pass,0.895,1.105,1.025,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79141013DM0XDEE13,A041.Z,A041.Z,pass,-0.025,0.025,0.017,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A119.N,A119.N,pass,10.815,11.225,11.045,ump-t3,ua-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100Q3L82LCH22,237.N,237.N,pass,0.405,0.515,0.466,ump-t1,CNC6,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79136001RM0XDE713,A022.N,A022-08.N,pass,-0.005,0.155,0.227,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A326.Y,A326-A.Y,pass,0,0.065,0.007,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212003NL82JA022,124.N,124-11.N,pass,0.115,0.325,0.231,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79144018MM0XCEP13,A119.N,A119-B1.N,pass,10.815,11.225,11.101,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7919700QWL82JCX19,469.L,469.L,pass,0.145,0.265,0.208,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920700XEL82KCH19,485.L,485.L,pass,1.365,1.485,1.442,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200DDL82JAD22,039.L,039-TN.L,pass,0.145,0.265,0.232,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A224.Y,A224-M02.Y,pass,0.455,0.615,0.491,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202C1L82LCJ22,107.L,107.L,pass,1.805,1.855,1.813,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921200DDL82JAD22,472.L,472-TN.L,pass,0.145,0.265,0.162,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212014SL82LCJ22,234.N,234-05.N,pass,0.175,0.255,0.23,ump-t1,Grinding,2019.05.26,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A022.N,A022-05.N,pass,-0.005,0.155,0.126,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914401EZM0XCET13,531.Z,531-15.Z,pass,-0.005,0.305,0.098,ump-t3,CNC5-1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79141013DM0XDEE13,A224.Y,A224-M01.Y,pass,0.455,0.615,0.494,ump-t3,trim-sp-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914401NLM0XCEG13,A144.N,A144-LA03.N,pass,2.235,2.495,2.303,ump-t3,CNC7,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300MDL82LCE22,450.L,450-09.L,pass,0.01,0.22,0.115,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921200U3L82LC422,560.N,560.N,pass,1.315,1.385,1.345,ump-t1,CNC6,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79136001RM0XDE713,A273.N,A273.N,pass,4.055,4.465,4.26,ump-t3,bd-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300K4L82LCV22,234.N,234.N,pass,0.175,0.255,0.234,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79143001BM0XCEN13,A111.N,A111.N,pass,5.635,5.945,5.818,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202GXL82LCA22,147.L,147.L,pass,1.805,1.855,1.839,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913701ZJM0XDEJ13,A040.Z,A040.Z,pass,-0.025,0.025,0.009,ump-t3,Grinding,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM791370050M0XDEK13,A022.N,A022-08.N,pass,-0.005,0.155,0.206,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
